loan_id,Gender,Age_at_loan,Months_open_before_loan,Amount,Duration,Monthly_payments,Default_flag,Total_num_trans,total_balance,avg_balance,Credit_card_issued,No_credict_card,Junior_Credit_card,Classic_Credit_card,Gold_Credit_card,District_account_opened,Distict_Avg_Salary,Unemploymenr_rate_1995,Unemploymenr_rate_1996
4959,0,48,10,80952,24,3373,0,54,1759893.70,32590.624074,0,1,0,0,0,1,12541,0.29,0.43
4961,1,57,12,30276,12,2523,1,80,2015767.40,25197.092500,0,1,0,0,0,21,9104,1.51,2.07
4962,0,35,16,30276,12,2523,0,164,10330567.40,62991.264634,0,1,0,0,0,68,9893,4.09,4.72
4967,0,46,13,318480,60,5308,1,116,4634660.60,39953.970690,0,1,0,0,0,20,8547,2.65,3.64
4968,1,58,8,110736,48,2307,0,55,1726089.70,31383.449091,0,1,0,0,0,19,8402,3.13,3.98
4973,1,51,18,165960,24,6915,0,125,6565405.60,52523.244800,0,1,0,0,0,16,8427,1.12,1.54
4986,0,55,15,102876,12,8573,0,118,3900770.20,33057.374576,1,0,0,1,0,74,10673,4.75,5.44
4988,0,30,20,265320,36,7370,1,83,3840125.70,46266.574699,0,1,0,0,0,44,8254,2.79,3.76
4989,1,47,16,352704,48,7348,0,56,1724659.30,30797.487500,1,0,0,1,0,21,9104,1.51,2.07
4990,0,44,13,162576,36,4516,0,84,3876457.00,46148.297619,1,0,0,1,0,36,9198,3.33,4.28
4996,1,51,5,88440,12,7370,0,31,1946120.80,62778.090323,1,0,0,1,0,40,9317,6.49,7.07
5002,0,54,6,104808,12,8734,0,30,1161294.90,38709.830000,0,1,0,0,0,66,8512,3.51,4.12
5005,0,29,7,27456,12,2288,0,75,3658507.20,48780.096000,0,1,0,0,0,71,8678,5.93,5.57
5015,1,53,16,109344,12,9112,0,93,4498992.00,48376.258065,1,0,0,1,0,70,10177,6.63,7.75
5027,0,27,11,160920,36,4470,0,59,3047314.50,51649.398305,1,0,0,1,0,38,8965,7.08,8.23
5032,0,54,11,123696,48,2577,0,61,2994147.30,49084.381967,0,1,0,0,0,56,8772,4.69,4.98
5034,1,42,22,112752,36,3132,0,129,5761094.80,44659.649612,1,0,0,1,0,71,8678,5.93,5.57
5036,1,25,19,91248,48,1901,0,99,2987139.30,30173.124242,0,1,0,0,0,14,10045,1.42,1.71
5039,1,57,15,66840,24,2785,0,94,3649016.10,38819.320213,0,1,0,0,0,15,9045,3.13,3.6
5041,1,23,20,369000,60,6150,0,171,8318876.60,48648.401170,0,1,0,0,0,47,9538,1.51,1.81
5042,1,25,19,331584,48,6908,0,101,4242744.00,42007.366337,0,1,0,0,0,42,8388,2.41,2.94
5043,1,50,15,468060,60,7801,0,112,6677800.20,59623.216071,1,0,0,1,0,46,8369,1.79,2.31
5044,0,29,12,100980,60,1683,0,70,2493032.10,35614.744286,0,1,0,0,0,54,9897,1.6,1.96
5045,0,47,16,187224,24,7801,1,88,3703419.40,42084.311364,0,1,0,0,0,65,12541,0.29,0.43
5046,0,61,15,42816,12,3568,0,85,1451524.30,17076.756471,0,1,0,0,0,72,8994,3.8,4.79
5051,0,36,14,230400,60,3840,0,168,13356090.40,79500.538095,0,1,0,0,0,68,9893,4.09,4.72
5060,1,28,7,252060,60,4201,1,61,3497771.00,57340.508197,0,1,0,0,0,1,8441,3.45,4.48
5061,1,40,14,84288,48,1756,0,85,2186827.50,25727.382353,0,1,0,0,0,29,8843,2.82,3.6
5063,1,56,3,357840,48,7455,1,2,10700.00,5350.000000,0,1,0,0,0,54,9897,1.6,1.96
5072,1,36,6,196800,24,8200,1,23,1349398.60,58669.504348,0,1,0,0,0,8,11277,1.25,1.44
